npsn,nama,status,akreditasi,kab_kota,provinsi,alamat,lintang,bujur,jml_siswa,total_rombel,jml_jurusan,jurusan,url
69786950,UPTD SMKN 1 BUDONG BUDONG,Negeri,B,Kab. Mamuju Tengah,Prov. Sulawesi Barat,Dusun Rantekombiling,-2.13740000,119.22380000,47,6,8,,https://smk.kemendikdasmen.go.id/detail-sekolah/184AC5D7-1B10-4E01-842F-D5CEAD356D1C
69760852,UPTD SMKN 2 POLEWALI,Negeri,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL. PAMERAN DARA Kel. DARMA POLEWALI,-3.39600000,119.32650000,77,9,13,,https://smk.kemendikdasmen.go.id/detail-sekolah/B8D044E3-7A0F-4ACE-8993-A0BF39E407C5
69956618,SMK SWASTA ARMIDA ABDULLADIN,Swasta,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,Jl. Poros Rappang Barat,-3.34750000,119.19360000,118,5,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/06197751-5520-4A3C-BCDD-AA605DF4EBAA
40604357,UPTD SMKN PAPALANG,Negeri,A,Kab. Mamuju,Prov. Sulawesi Barat,Jl. Poros Mamuju - Tarailu KM. 75 Papalang,-2.42920000,119.15490000,688,30,22,,https://smk.kemendikdasmen.go.id/detail-sekolah/876C69E2-A6AE-420C-9A01-803828520393
40600634,UPTD SMKN TAPANGO,Negeri,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL. PENDIDIKAN NO. 4 BANATO REJO,-3.34590000,119.24300000,442,18,15,,https://smk.kemendikdasmen.go.id/detail-sekolah/3FF7F5FB-47A6-4792-B0BD-4EBAB288CFF4
40602587,SMKS BUNGA BANGSA SEJAHTERA,Swasta,B,Kab. Majene,Prov. Sulawesi Barat,JL. POROS MAJENE-MAMUJU KM. 87,-3.00010000,118.85760000,0,0,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/8784E27B-5B1A-4229-97A2-9F3C54C0B24D
40601489,UPTD SMKN 1 MAJENE,Negeri,A,Kab. Majene,Prov. Sulawesi Barat,JL. K.H. MUH. SALEH NO. 41,-3.48890000,118.89720000,497,22,15,,https://smk.kemendikdasmen.go.id/detail-sekolah/71080DD2-E01C-45A6-9FA1-702C89AA87C2
40605152,SMKS PESANTREN AL IKHLASH,Swasta,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,Jl. POROS MAJENE KM 27,-3.44300000,119.14970000,0,0,6,,https://smk.kemendikdasmen.go.id/detail-sekolah/DAD777F3-FAF8-4737-963A-A7998E1CB81D
69786289,SMKS KEHUTANAN MAMASA,Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat,KARIANGO,-2.88150000,119.43180000,0,0,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/83FEAF79-99A0-49DD-9D99-4D7E7A091DFC
70002024,SMKS BINA INSANI MALUNDA,Swasta,C,Kab. Majene,Prov. Sulawesi Barat,JL. POROS MAJENE-MAMUJU Km.87 ,-2.93437630,118.89026780,78,6,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/E7CF09DF-2498-4908-9BAC-66202FC9D853
40600647,UPTD SMKN LIMBORO,Negeri,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL. POROS TINAMBUNG - ALU,-3.48020000,119.00780000,303,13,9,,https://smk.kemendikdasmen.go.id/detail-sekolah/C13CE277-62DE-4574-B055-A7F8CFB3CAAD
69759072,SMKS AWARA ARALLE,Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat,ARALLE,-2.77500000,119.15730000,52,5,2,,https://smk.kemendikdasmen.go.id/detail-sekolah/C00DFB0E-FF20-4F9C-BC05-5DC7ECE8860D
40604622,SMKS SALURANTE,Swasta,Tidak Terakreditasi,Kab. Mamasa,Prov. Sulawesi Barat,Pangandaran,-2.77220000,119.08960000,0,0,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/2A10A6F8-8439-44B8-9AAB-E89695F0DCA1
40601052,UPTD SMKN 1 MAMASA,Negeri,B,Kab. Mamasa,Prov. Sulawesi Barat,JL. PENDIDIKAN NO. 244 LEMBANG BANGGO MAMASA,-2.94450000,119.37780000,670,24,21,,https://smk.kemendikdasmen.go.id/detail-sekolah/7A422186-1E21-472B-B286-50ECCAA0FAE9
40600659,SMKS SUPARMAN WONOMULYO,Swasta,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL. GALESO,-3.40360000,119.24100000,126,8,12,,https://smk.kemendikdasmen.go.id/detail-sekolah/21DA2608-7D82-4C92-9FB6-519D40733E65
69774921,SMKS DARUL QURAN WAL-HADITS NW,Swasta,C,Kab. Mamuju,Prov. Sulawesi Barat,Jl. Poros Wisata Gentungan,-2.60230000,119.02740000,0,0,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/60944BD2-0B14-4F33-B17F-A73377EB1D49
69766213,UPTD SMKN 8 MAJENE,Negeri,B,Kab. Majene,Prov. Sulawesi Barat,JL. KEMAKMURAN NO.8 SENDANA,-3.37550000,118.85040000,251,17,16,,https://smk.kemendikdasmen.go.id/detail-sekolah/930775BA-C23C-442D-8872-8873C8A06BB3
69760704,UPTD SMKN 1 TABULAHAN,Negeri,B,Kab. Mamasa,Prov. Sulawesi Barat,SALUNATA,-2.67520000,119.18010000,106,7,7,,https://smk.kemendikdasmen.go.id/detail-sekolah/4D5CB751-FD1D-4F75-B54F-7BA15A017BDD
40604651,SMKS ADSKAR BALLA,Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat,POROS MAMASA KM. 12 BALLA,-3.00690000,119.32390000,97,5,7,,https://smk.kemendikdasmen.go.id/detail-sekolah/160019F4-1B15-495E-84AA-A1BC44B33046
69857913,SMK AL-MARA (AL-GUNA DARMA NUSANTARA),Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat,"Jl. Ranteberang, Desa Ranteberang, Kec. Buntumalangka, Kab. Mamasa",-2.82492600,119.18849300,73,4,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/0D369372-8F76-4B2A-9344-A4393254F9B3
69822482,SMK TORY JENE PONGKAPADANG,Swasta,Tidak Terakreditasi,Kab. Mamasa,Prov. Sulawesi Barat,Tabulahan,-2.80220000,119.30900000,11,3,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/3EF17FC1-2394-44CF-99DD-E7AC02E40BD7
69895794,SMK SURYA HUSADA,Swasta,C,Kab. Polewali Mandar,Prov. Sulawesi Barat,Jln. Ahmad Yani No.54 Polewali Kec.Polewali,-3.43250000,119.35070000,46,3,1,,https://smk.kemendikdasmen.go.id/detail-sekolah/43161BF2-55BD-4B09-90F8-3A3CC03D3AB6
40604267,SMKS KOMPUTER KIPRAH BANGSA,Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat,"OSANGO,  KEC. MAMASA KAB. MAMASA PROPINSI SULAWESI BARAT",-2.95840000,119.35750000,0,0,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/4240BE17-CA3F-49D2-A5DB-2C71D6B5CA91
69859685,SMK MUHAMMADIYAH MAMUJU,Swasta,C,Kab. Mamuju,Prov. Sulawesi Barat,JL. SOEKARNO HATTA,-2.69242330,118.88186000,14,3,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/B7BB745A-FB29-4AC8-A7D7-336E01942C5E
69754227,SMKS PEMBANGUNAN ULUMAMBI,Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat,Tanete Ballo,-2.92070000,119.27160000,74,6,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/57BF7C3D-35E2-4E55-840B-904C86B3AA37
69815428,SMKS ARMAJAYA,Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat,SINDAGAMANIK,-3.01820000,119.23200000,43,3,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/CD113E2E-8539-49C1-B406-E3F8480AB376
69940183,SMKS BINA HARAPAN,Swasta,C,Kab. Mamuju Tengah,Prov. Sulawesi Barat,Jl. Poros Lara,-1.86440000,119.85490000,15,3,2,,https://smk.kemendikdasmen.go.id/detail-sekolah/7726844B-3C7A-4402-BF6E-96BDC3BCC135
