npsn,nama,status,akreditasi,kab_kota,jml_jurusan_api,jml_jurusan_scrape,jurusan,jml_siswa,total_rombel
69766213,UPTD SMKN 8 MAJENE,Negeri,B,Kab. Majene,16,10,"Agribisnis Pengolahan Hasil Pertanian | Agriteknologi Pengolahan Hasil Pertanian | Akuntansi dan Keuangan Lembaga | Desain Komunikasi Visual | Layanan Perbankan | Teknik Kendaraan Ringan | Teknik Ketenagalistrikan | Teknik Otomotif | Teknik Pemanasan, Tata Udara, dan Pendinginan (Heating, Ventilation, and Air Conditioning) | Teknik Sepeda Motor",251,17
69760704,UPTD SMKN 1 TABULAHAN,Negeri,B,Kab. Mamasa,7,4,Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,106,7
40604651,SMKS ADSKAR BALLA,Swasta,C,Kab. Mamasa,7,3,Desain Komunikasi Visual | Layanan Kesehatan | Layanan Penunjang Keperawatan dan Caregiving,97,5
69857913,SMK AL-MARA (AL-GUNA DARMA NUSANTARA),Swasta,C,Kab. Mamasa,3,2,Agribisnis Tanaman Perkebunan | Teknik Komputer dan Jaringan,73,4
69822482,SMK TORY JENE PONGKAPADANG,Swasta,Tidak Terakreditasi,Kab. Mamasa,4,2,Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura,11,3
69895794,SMK SURYA HUSADA,Swasta,C,Kab. Polewali Mandar,1,1,Farmasi Klinis dan Komunitas,46,3
40604267,SMKS KOMPUTER KIPRAH BANGSA,Swasta,C,Kab. Mamasa,3,2,Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,0,0
69859685,SMK MUHAMMADIYAH MAMUJU,Swasta,C,Kab. Mamuju,4,2,Busana | Desain dan Produksi Busana,14,3
69754227,SMKS PEMBANGUNAN ULUMAMBI,Swasta,C,Kab. Mamasa,4,5,Agribisnis Tanaman | Agribisnis Tanaman Perkebunan | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Otomatisasi dan Tata Kelola Perkantoran,74,6
69815428,SMKS ARMAJAYA,Swasta,C,Kab. Mamasa,3,2,Agribisnis Ternak | Agribisnis Ternak Unggas,43,3
69940183,SMKS BINA HARAPAN,Swasta,C,Kab. Mamuju Tengah,2,1,Teknik Komputer dan Jaringan,15,3
